#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
8800,-434020.4431654089,91946.22372144145,-342074.21944396745,303.04560964233104,464.5220174305207
8850,-434775.43284641276,91462.40325956659,-343313.0295868462,301.45098551431363,464.33871521128987
8900,-434110.8780457922,91514.45884374095,-342596.41920205124,301.6225555429991,464.33871521128987
8950,-434043.29684032034,92427.96043198626,-341615.3364083341,304.6333659331867,464.33871521128987
9000,-433363.98604832566,91682.0109902232,-341681.97505810246,302.1747907553056,464.33871521128987
9050,-434720.75685080886,91714.70454563116,-343006.05230517767,302.2825454626658,464.33871521128987
9100,-435675.4111097781,92959.00599181582,-342716.4051179623,306.3836392876853,464.33871521128987
9150,-435307.2688176625,92936.74799152486,-342370.5208261376,306.31027913220976,463.9555993783815
9200,-434560.0676189149,91602.98964185896,-342957.0779770559,301.9143442495051,463.9555993783815
9250,-435294.3518327982,92143.46190145523,-343150.889931343,303.6956870689811,463.46644054358995
9300,-433939.65614036703,91595.6290287436,-342344.02711162344,301.89008440066516,463.46644054358995
9350,-434780.70105192275,92470.43745601758,-342310.26359590515,304.77336598019644,464.2559051162343
9400,-434423.51863712026,91363.04456028555,-343060.47407683474,301.1235091223727,463.6023221088574
9450,-435534.18891528854,92533.88190138023,-343000.3070139083,304.98247256277443,463.6023221088574
9500,-434457.0352554396,91953.55001515074,-342503.48524028884,303.0697563778216,463.40164934001683
9550,-434470.9263690752,91529.6619702104,-342941.2643988648,301.6726635359425,463.73006607067515
9600,-434517.7618827624,92550.70008506862,-341967.06179769384,305.03790362369944,464.4116053987491
9650,-434051.5787828523,92047.81015212022,-342003.7686307321,303.3804284154185,463.87922045807017
9700,-434245.42763773096,91657.1833388533,-342588.24429887766,302.09296128541706,463.87922045807017
9750,-433926.8329366476,92721.6977353131,-341205.1352013345,305.6014948737625,463.87922045807017
9800,-434005.2363752939,91659.38486505239,-342345.8515102415,302.1002172968349,463.87922045807017
9850,-434894.02567456174,91741.45249610965,-343152.5731784521,302.37070404744895,463.87922045807017
9900,-433145.7614887669,92504.7229205433,-340641.0385682236,304.88636746169874,463.87922045807017
9950,-433583.3746193417,91336.17276271064,-342247.201856631,301.0349423498759,463.87922045807017
10000,-432679.3972262007,91234.56360737293,-341444.83361882775,300.7000486785725,463.87922045807017
10050,-432364.93883633753,91753.39249402253,-340611.54634231504,302.4100570931771,463.87922045807017
10100,-432562.5448785394,91455.91428944374,-341106.63058909564,301.429598514095,462.850009039152
10150,-433184.48099318193,92312.13846979878,-340872.34252338315,304.2516282639225,464.23697591903266
10200,-433134.04899181356,92326.31545632277,-340807.7335354908,304.2983542016518,464.23697591903266
10250,-432623.62916976167,91575.18334914358,-341048.4458206181,301.8226974739578,463.9242511941295
10300,-434353.16565911565,91415.87417058778,-342937.2914885279,301.2976302642013,463.2272073610911
10350,-434282.8339876011,91965.2368909361,-342317.597096665,303.1082751581895,463.2272073610911
10400,-433051.96163459215,91682.75427542083,-341369.20735917136,302.17724054939976,463.68045065265295
10450,-432923.73020318616,91813.334921679,-341110.39528150717,302.6076213736594,463.2827672572158
10500,-432822.9219455498,91235.47991053635,-341587.44203501346,300.7030687226759,463.2827672572158
10550,-433994.8805910116,91874.26043216496,-342120.62015884666,302.8084257973835,463.25769417562674
10600,-434021.21065762755,90985.78315604298,-343035.4275015846,299.8800930513704,463.25769417562674
10650,-433874.13562533027,91511.35603335047,-342362.7795919798,301.61232898851614,462.9751031208172
10700,-433306.81516395696,92430.39271757306,-340876.42244638386,304.6413825045982,462.9751031208172
10750,-432790.91137841623,92331.28366737251,-340459.6277110437,304.3147289311998,462.9751031208172
10800,-433032.65554120904,91374.72206143664,-341657.9334797724,301.16199700487834,463.42237512566675
10850,-433448.31761902524,91622.10337362732,-341826.21424539795,301.97734120861713,463.42237512566675
10900,-432436.3532745431,92098.67667344221,-340337.67660110083,303.5480794111909,463.5760590412733
10950,-432832.4685601739,91915.77757156306,-340916.69098861085,302.9452621600994,462.85386260993886
11000,-433378.58599955123,91505.69177855253,-341872.8942209987,301.5936601679933,462.85386260993886
11050,-431266.3630107646,91932.72929437827,-339333.63371638634,303.00113335270635,462.9776059714109
11100,-432483.91250873404,92113.77102927708,-340370.141479457,303.5978289069395,463.3360514745123
11150,-432322.22793552047,92096.74519718089,-340225.4827383396,303.5417134575124,462.8036546016004
11200,-433143.1495542091,91472.07850301807,-341671.071051191,301.4828741545592,462.8036546016004
11250,-433169.4236424165,91839.46403799127,-341329.95960442524,302.69374034257174,462.8036546016004
11300,-432757.06650025956,92812.75752197171,-339944.30897828785,305.9016188749989,463.0668392042622
11350,-434335.936918227,91702.45102219755,-342633.48589602945,302.24215906800043,461.89134519567364
11400,-434007.51928003994,92097.95852655146,-341909.56075348845,303.54571247045624,461.89134519567364
11450,-432733.390996699,91992.71330125951,-340740.6776954395,303.1988346741786,463.2174023314388
11500,-432826.5485563902,92887.6094029086,-339938.9391534816,306.1483232307984,462.7238540487457
11550,-432758.54822697025,91655.83591755472,-341102.7123094155,302.0885203188135,462.3158107581051
11600,-432987.5072533842,91527.48397486706,-341460.0232785172,301.6654850798852,462.3158107581051
11650,-433881.15389237134,92519.85027158869,-341361.3036207827,304.93622570638,462.3158107581051
11700,-433299.0346874427,91688.82444266028,-341610.21024478244,302.1972472169632,462.3158107581051
11750,-433637.5244177475,92673.4611135695,-340964.063304178,305.44251176546584,462.3158107581051
11800,-434526.9867045742,90710.38358037393,-343816.60312420025,298.9724034375293,462.3158107581051
11850,-434170.7067027048,91716.34787538188,-342454.3588273229,302.28796171410056,462.65485938444914
11900,-433152.4373068791,91185.68142126972,-341966.75588560937,300.53893785434576,462.65485938444914
11950,-432916.28269255697,91028.0590325078,-341888.22366004915,300.01943013600436,462.65485938444914
12000,-434030.05095148715,91811.18432513818,-342218.866626349,302.6005332213305,461.56559856932387
12050,-432884.8430796033,91580.20524767929,-341304.637831924,301.8392491521205,461.56559856932387
12100,-433791.1394181,91868.0151085764,-341923.1243095236,302.7878418319121,461.56559856932387
12150,-434086.1093591226,92576.26643160565,-341509.8429275169,305.12216775939805,461.56559856932387
